Reference #,START DATE,END DATE,VendorNumber,Category MATERIAL GROUP,Category NAME,Vendor performance,ParentOANumber2,OA number,RestrictedUSVendor,PurchasingGroupNumber,AutoPOCategory,MaxAutoPOValueEx,AutoPOType,AuthorizationGroupName,AribaSupplierGroup
16,2012-03-03,2024-01-12,49664838,1652,Distribution Transf,Excellent,429999435,429999435,N,700,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2807,2021-04-15,2025-06-28,59699937,2622,Construction Equip,Excellent,600001967,600001967,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1046,2025-05-16,2025-07-08,57849737,2622,Construction Equip,Average,600002270,600002270,N,116,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
494,2024-01-13,2025-07-15,49721237,2672,Engineering & Proj,Poor,440002268,600001329,N,140,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
501,2012-05-15,2025-07-15,51077137,2772,Property & Facility,Poor,439999922,439999922,N,139,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
21,2013-10-16,2022-05-10,54207847,1662,Electrical Component,Poor,429999450,429999450,N,710,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1800,2017-05-16,2025-07-15,56306038,2812,Tech/Specialized Svc,Good,440001564,440001564,N,117,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
23,2017-10-27,2021-11-12,54207847,1762,Pre-Cast Concrete,Excellent,429999495,429999495,N,701,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1803,2017-05-16,2025-07-15,54386937,2812,Tech/Specialized Svc,Average,440001569,440001569,N,117,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
25,2020-05-15,2022-11-20,54207847,1662,Electrical Component,Average,429999545,429999545,N,701,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1809,2017-05-16,2025-07-15,58936437,2812,Tech/Specialized Svc,Excellent,440001575,440001575,N,117,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
27,2020-06-27,2022-11-20,54207847,1712,Metering & Network,Developing,429999548,429999548,N,700,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3006,2014-03-08,2025-07-15,60031737,1602,Aux Elec Equip,Good,600001306,600001306,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
29,2022-10-15,2022-10-23,54207847,1802,Switchgear,Average,439999498,439999498,N,323,No Auto-PO,"10,000,000.00 CAD",#,UNSECURED,Service Entry Sheet First
1846,2021-04-15,2025-07-18,53035037,2622,Construction Equip,Good,440002452,440002452,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
2443,2025-07-19,2025-07-27,59274237,2612,Civil UG Construct,Good,599999773,600002295,N,138,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
1008,2023-04-15,2025-08-03,50551037,2732,General Construction,Poor,600001011,600001011,N,141,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1007,2021-04-15,2025-08-10,50551037,2622,Construction Equip,Good,440002425,440002425,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
922,2018-03-15,2025-08-14,50125637,2762,Marketing & Commun,Excellent,600000547,600000547,N,103,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2738,2021-10-06,2025-08-14,59621837,1662,Electrical Component,Good,599999857,599999857,N,702,Exception,"10,000,000.00 CAD",NB,UNSECURED,Service Entry Sheet First
2172,2021-01-13,2025-08-23,57895437,2812,Tech/Specialized Svc,Good,440002332,440002332,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
37,2019-06-05,2025-05-20,49716439,1722,MRO-Gen Indus/Safety,Good,429999534,429999534,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
38,2012-10-15,2023-12-24,55942837,1622,Construct Material,Average,429999441,429999441,N,702,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1529,2015-09-05,2025-09-03,57723237,1742,Oth Gen Stn Equip,Poor,440001132,440001132,N,304,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2111,2023-04-04,2025-09-03,54142537,2672,Engineering & Proj,Good,600001008,600001008,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
140,2018-09-15,2025-09-14,54207837,1722,MRO-Gen Indus/Safety,Good,429999511,429999511,N,702,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
361,2022-12-14,2025-09-14,49665061,1682,"Fuel, Oil, Lubricant",Excellent,600000816,600000816,N,111,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
482,2012-09-29,2025-09-14,50622337,2702,Equip Rental,Poor,439999895,439999895,N,112,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
44,2012-04-02,2021-12-25,59218937,1762,Pre-Cast Concrete,Average,429999439,429999439,N,701,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
514,2019-12-29,2025-09-14,49739537,2712,Equip Test/Maint/Rep,Poor,440002137,440002137,N,112,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
544,2013-01-09,2025-09-14,51935037,2802,Specialized Trades,Good,439999990,439999990,N,133,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
629,2021-07-03,2025-09-14,49911252,2822,Traffic Mgmt Svc,Good,599999692,599999692,N,112,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
697,2013-04-15,2025-09-14,53800837,2802,Specialized Trades,Excellent,440000176,440000176,N,138,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
862,2023-09-15,2025-09-14,50117138,2672,Engineering & Proj,Excellent,600001304,600001304,N,140,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
50,2010-09-15,2025-03-14,55396637,1802,Switchgear,Average,439999501,439999501,Y,323,No Auto-PO,"10,000,000.00 CAD",#,UNSECURED,
51,2010-09-15,2025-03-14,50607237,1802,Switchgear,Good,439999504,439999504,N,323,No Auto-PO,"10,000,000.00 CAD",#,UNSECURED,
1099,2020-10-20,2025-09-14,50232437,2692,Equip Install & Comm,Poor,440002312,440002312,N,300,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
53,2020-12-14,2022-11-29,55140538,1692,IT,Good,439999745,599999473,N,129,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
54,2020-12-14,2022-11-29,55140538,1692,IT,Good,439999745,599999474,N,129,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
1142,2020-09-14,2025-09-14,50319537,2782,Quality Mgmt/Inspect,Good,440002304,440002304,N,140,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
56,2017-11-15,2022-12-13,49613073,2712,Equip Test/Maint/Rep,Good,440001652,440001652,N,131,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
57,2010-09-15,2025-02-27,49655239,1812,Telecom Equip,Excellent,429999426,429999426,Y,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
58,2012-08-14,2024-03-13,57233838,1722,MRO-Gen Indus/Safety,Excellent,429999440,429999440,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1247,2014-01-08,2025-09-14,57270538,2732,General Construction,Excellent,440000600,440000600,Y,320,No Auto-PO,"10,000,000.00 CAD",#,SITE C,Service Entry Sheet First
60,2013-08-15,2024-07-14,49712737,1722,MRO-Gen Indus/Safety,Developing,429999448,429999448,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1403,2014-07-16,2025-09-14,51910937,2802,Specialized Trades,Good,440000923,440000923,N,116,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
62,2017-10-31,2022-11-12,49613840,1602,Aux Elec Equip,Excellent,429999492,429999492,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,"Invoice First, 5% Tolerance"
63,2013-08-26,2023-03-14,56442237,1822,Wire And Cable,Poor,429999447,429999447,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1444,2014-09-30,2025-09-14,57770837,2682,Environment Svc,Excellent,440001004,440001004,N,137,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1489,2015-03-28,2025-09-14,54719837,2732,General Construction,Developing,440001056,440001056,N,138,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
66,2013-12-14,2025-02-27,49626637,1622,Construct Material,Good,429999452,429999452,N,716,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1744,2020-02-05,2025-09-14,53997637,2732,General Construction,Excellent,440002162,440002162,N,112,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
68,2010-09-15,2022-03-14,52986641,3602,Not address by SC,Poor,429999453,429999453,N,131,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
69,2010-09-15,2022-03-14,52986641,3602,Not address by SC,Developing,429999453,439999483,N,131,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
70,2018-02-18,2022-03-14,52986641,3602,Not address by SC,Excellent,429999453,599999481,N,134,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1822,2017-10-16,2025-09-14,57247237,2612,Civil UG Construct,Good,440001615,440001615,N,324,No Auto-PO,"10,000,000.00 CAD",#,SITE C,Service Entry Sheet First
72,2015-07-29,2024-06-13,52986641,1662,Electrical Component,Good,429999553,429999553,N,703,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1832,2011-04-04,2025-09-14,52947754,2712,Equip Test/Maint/Rep,Developing,600000424,600000424,N,111,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
74,2014-01-17,2024-06-13,54922637,1602,Aux Elec Equip,Average,429999454,429999454,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
75,2014-03-08,2025-04-14,55337138,1722,MRO-Gen Indus/Safety,Good,429999455,429999455,Y,705,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
1918,2020-10-07,2025-09-14,53413437,1622,Construct Material,Developing,440002303,440002303,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
77,2014-03-08,2024-01-06,49656037,1722,MRO-Gen Indus/Safety,Average,429999456,429999456,N,704,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
78,2014-03-15,2024-03-13,58831041,1722,MRO-Gen Indus/Safety,Average,429999457,429999457,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
1937,2018-11-10,2025-09-14,56913437,2802,Specialized Trades,Excellent,440001810,440001810,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2004,2019-02-27,2025-09-14,57237137,1622,Construct Material,Good,440001911,440001911,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
2052,2018-10-13,2025-09-14,57740837,1692,IT,Excellent,440002005,440002005,N,131,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2067,2023-05-31,2025-09-14,57816737,2682,Environment Svc,Excellent,600001102,600001102,N,126,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2089,2021-09-15,2025-09-14,53925437,1692,IT,Excellent,599999843,599999843,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2096,2019-10-26,2025-09-14,54297038,1622,Construct Material,Average,440002071,440002071,N,116,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,
85,2018-05-16,2024-04-08,54673537,2862,Vegetation Mgmt,Excellent,440001752,440001752,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
86,2018-05-16,2024-04-08,54673537,2862,Vegetation Mgmt,Poor,440001754,440001754,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
87,2014-04-13,2025-02-12,53638337,1722,MRO-Gen Indus/Safety,Excellent,429999458,429999458,N,702,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
88,2014-06-15,2022-09-14,55423937,1762,Pre-Cast Concrete,Good,429999459,429999459,N,701,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2097,2019-10-29,2025-09-14,56187737,1622,Construct Material,Good,440002073,440002073,N,133,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
90,2016-02-14,2022-02-14,55423937,2732,General Construction,Excellent,440001295,440001295,N,138,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2105,2019-11-24,2025-09-14,54456837,2712,Equip Test/Maint/Rep,Good,440002119,440002119,N,111,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
92,2018-05-16,2024-04-13,55592337,2862,Vegetation Mgmt,Good,440001766,440001766,N,129,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
93,2018-05-16,2024-05-14,55592337,2862,Vegetation Mgmt,Average,440001767,440001767,N,119,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2155,2020-10-07,2025-09-14,58786937,1622,Construct Material,Excellent,440002297,440002297,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Invoice First
2225,2024-08-24,2025-09-14,54861937,2692,Equip Install & Comm,Poor,600001724,600001724,N,111,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
96,2014-11-13,2024-07-14,49712037,1722,MRO-Gen Indus/Safety,Poor,429999464,429999464,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2455,2020-01-20,2025-09-14,59302037,2802,Specialized Trades,Poor,440002180,440002180,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
98,2014-11-13,2025-03-13,49706942,1602,Aux Elec Equip,Average,429999465,429999465,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2458,2018-07-25,2025-09-14,59309337,1692,IT,Developing,440001792,440001792,N,141,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
100,2014-11-13,2025-03-13,49642038,1602,Aux Elec Equip,Good,429999467,429999467,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2539,2010-02-27,2025-09-14,59441637,2802,Specialized Trades,Poor,439999456,439999456,N,116,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
102,2014-11-13,2025-03-13,50952837,1602,Aux Elec Equip,Excellent,429999468,429999468,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
103,2014-11-26,2023-03-14,57340638,1602,Aux Elec Equip,Poor,429999470,429999470,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
104,2014-12-28,2022-03-14,51371237,1602,Aux Elec Equip,Developing,429999472,429999472,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
105,2016-01-23,2025-02-12,55024337,1612,Conductor Supp Struc,Good,429999476,429999476,N,703,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2588,2020-09-28,2025-09-14,59483537,2752,Line Svc,Excellent,600000216,600000216,N,116,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
107,2016-07-12,2024-07-11,56232937,1602,Aux Elec Equip,Good,429999478,429999478,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2745,2020-09-14,2025-09-14,59628737,2782,Quality Mgmt/Inspect,Excellent,440002314,440002314,N,137,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2764,2020-09-28,2025-09-14,59645637,2782,Quality Mgmt/Inspect,Good,600000217,600000217,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2593,2023-09-15,2025-09-15,59485937,2832,Training Svcs,Good,600001230,600001230,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
111,2011-12-14,2022-03-02,54517837,2712,Equip Test/Maint/Rep,Average,439999587,439999587,N,111,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
3060,2025-02-26,2025-09-16,60185637,2792,Site Safety Svcs,Average,600002046,600002046,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
795,2013-06-01,2025-09-20,52173737,2752,Line Svc,Good,440000251,440000251,N,116,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
114,2014-08-09,2024-08-13,56602237,1722,MRO-Gen Indus/Safety,Excellent,429999483,429999483,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
3091,2024-04-10,2025-10-04,60309137,2732,General Construction,Good,600001518,600001518,N,316,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
116,2016-11-13,2024-03-13,49729637,1652,Distribution Transf,Good,429999484,429999484,N,702,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2742,2025-08-05,2025-10-05,59621837,1802,Switchgear,Good,600002343,600002343,N,323,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2762,2024-09-14,2025-10-08,59642937,2792,Site Safety Svcs,Average,600001838,600001838,N,138,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
119,2012-03-14,2022-02-12,49621246,1602,Aux Elec Equip,Average,440002273,440002273,N,103,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
605,2016-09-14,2025-10-15,49823738,3602,Not address by SC,Excellent,440001498,440001498,N,139,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
121,2017-03-15,2023-03-14,54194738,1722,MRO-Gen Indus/Safety,Excellent,429999488,429999488,N,701,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
122,2017-04-01,2025-04-01,59055337,1662,Electrical Component,Average,429999489,429999489,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
123,2017-09-15,2022-09-14,56885142,1822,Wire And Cable,Excellent,429999494,429999494,Y,710,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
124,2017-11-21,2022-11-22,49658239,1662,Electrical Component,Good,429999496,429999496,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
617,2016-09-14,2025-10-15,49874540,3602,Not address by SC,Developing,440001477,440001477,N,119,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,
2072,2022-10-16,2025-10-15,58819037,2802,Specialized Trades,Average,600000756,600000756,N,138,Services,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
127,2018-02-18,2022-03-14,52986642,1692,IT,Good,429999500,429999500,N,131,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
2941,2024-11-26,2025-10-15,59800137,1832,EV Equip & Services,Poor,600001849,600001849,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2777,2022-11-07,2025-11-06,59677037,1752,Power Transformer,Average,600001202,600001202,N,323,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
130,2018-05-26,2021-12-13,55116743,1812,Telecom Equip,Average,429999504,429999504,N,711,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
131,2018-05-22,2023-06-14,57221139,1722,MRO-Gen Indus/Safety,Excellent,429999506,429999506,N,711,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
82,2016-02-13,2025-11-12,55475937,2842,Transportation Svc,Good,440001690,440001690,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
133,2021-09-13,2022-06-14,49623159,1802,Switchgear,Good,599999645,599999645,N,323,No Auto-PO,"10,000,000.00 CAD",#,UNSECURED,Service Entry Sheet First
278,2014-02-13,2025-11-12,49650237,1632,Chemicals and Gases,Excellent,440000860,440000860,N,111,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
639,2016-02-13,2025-11-12,49928138,2842,Transportation Svc,Good,440001251,440001251,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1090,2017-04-15,2025-11-12,56212855,3602,Not address by SC,Good,600000091,600000091,N,324,No Auto-PO,"10,000,000.00 CAD",#,SITE C,Service Entry Sheet First
137,2018-08-07,2022-04-14,55140546,1812,Telecom Equip,Good,429999509,429999509,N,700,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
138,2012-02-20,2023-12-13,55140546,1692,IT,Poor,439999649,439999649,N,112,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
139,2017-07-16,2024-12-23,58814338,1822,Wire And Cable,Poor,429999510,429999510,N,707,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,
1638,2016-02-13,2025-11-12,55505837,2842,Transportation Svc,Poor,440001252,440001252,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
1650,2016-02-13,2025-11-12,58853137,2842,Transportation Svc,Good,440001260,440001260,N,138,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
3125,2024-10-19,2025-11-12,60387237,1662,Electrical Component,Excellent,600001800,600001800,N,117,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
143,2018-11-04,2023-11-04,54343437,1652,Distribution Transf,Excellent,429999512,429999512,N,706,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
144,2011-08-15,2024-05-05,54343437,1722,MRO-Gen Indus/Safety,Good,439999555,439999555,N,108,No Auto-PO,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
145,2022-08-21,2023-09-14,54343437,1732,Utility Tools/Equip,Developing,600000609,600000609,N,108,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
2741,2024-08-21,2025-11-19,59621837,1802,Switchgear,Excellent,600001610,600001610,N,300,No Auto-PO,"10,000,000.00 CAD",#,NON-CONFIDENTIAL,Service Entry Sheet First
3074,2025-05-19,2025-11-24,60264337,1692,IT,Developing,600002204,600002204,N,120,Exception,"10,000,000.00 CAD",NBF,NON-CONFIDENTIAL,Service Entry Sheet First
2269,2025-11-13,2025-12-01,59034937,2862,Vegetation Mgmt,Good,600002484,600002484,N,112,Services,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
453,2023-12-02,2025-12-02,56065137,2672,Engineering & Proj,Developing,600001360,600001360,N,140,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Invoice First
149,2018-11-13,2025-12-10,59006437,1722,MRO-Gen Indus/Safety,Excellent,429999513,429999513,N,704,Exception,"10,000,000.00 CAD",NB,NON-CONFIDENTIAL,Service Entry Sheet First
